ingredient_name,Zn,Na,Se,Potassium (K),Phosphorus (P),Manganese (Mn),Magnesium (Mg),Iron (Fe),Fluoride (F),Copper (Cu),Calcium (Ca),Vitamin K,Vitamin E,Vitamin D,Vitamin C,Vitamin B6,Vitamin B12,Vitamin A,Thiamin (B1),Ribofavin (B2),Pantothenic Acid (B5),Niacin (B3),Cholines,Saturated Fattyacid,Trans Fattyacid,Alcohol (ethyl),Fiber (F),Carb,Fats,Calories,Sugars,Cholestrols,Caffeines,Water (H2O),Ashes,Proteins,Purchase Cost,Purchase Amt,Price / Unit,Persian
Almond Milk,0.060,72.000,0.100,67.000,9.000,40.000,6.000,0.280,0.000,20.000,184.000,0.000,6.330,1.000,0.000,0.000,0.000,0.000,0.000,10.000,10.000,70.000,3.100,80.000,0.000,0.000,0.200,1.310,0.960,15.000,0.810,0.000,0.000,96.540,0.790,0.400,,,,شیر بادام
Almonds,3.120,1.000,4.100,733.000,481.000,2.179,270.000,3.710,0.000,1.031,269.000,0.000,25.630,0.000,0.000,137.000,0.000,2.000,205.000,1.138,471.000,3.618,52.100,3.802,15.000,0.000,12.500,21.550,49.930,579.000,4.350,139.000,0.000,4.410,2.970,21.150,,,,بادام
Anise.Seed,5.300,16.000,5.000,"1,441.000",440.000,2.300,170.000,36.960,0.000,910.000,646.000,0.000,0.000,0.000,21.000,650.000,0.000,311.000,340.000,290.000,797.000,3.060,1.000,586.000,0.000,0.000,14.600,50.020,15.900,337.000,0.000,0.000,0.000,9.540,6.950,17.600,,,,انیسون.دانه
Apple (Fuji),0.040,1.000,0.000,109.000,13.000,31.000,5.000,0.100,0.000,25.000,7.000,1.000,0.180,0.000,0.000,45.000,0.000,38.000,13.000,26.000,51.000,70.000,3.400,0.000,0.000,0.000,2.100,15.220,0.180,63.000,11.680,0.000,0.000,84.160,0.240,0.200,,,,اپل (فوجی)
Apple (Gala),0.050,1.000,0.000,108.000,11.000,37.000,5.000,0.120,0.000,21.000,7.000,1.300,0.180,0.000,0.000,49.000,0.000,28.000,17.000,29.000,55.000,75.000,3.400,0.000,0.000,0.000,2.300,13.680,0.120,57.000,10.370,0.000,0.000,85.760,0.200,0.250,,,,سیب (گالا)
Apple (Garnny smith),0.040,1.000,0.100,120.000,12.000,44.000,5.000,0.150,0.000,31.000,5.000,3.200,0.180,0.000,0.000,37.000,0.000,100.000,19.000,25.000,56.000,126.000,3.400,0.000,0.000,0.000,2.800,13.610,0.190,58.000,9.590,0.000,0.000,85.460,0.290,0.440,,,,اپل (گارنی اسمیت)
Apple (Golden delisious),0.040,2.000,0.000,100.000,10.000,35.000,5.000,0.130,0.000,30.000,6.000,1.800,0.180,0.000,0.000,51.000,0.000,51.000,18.000,26.000,74.000,94.000,5.100,0.000,0.000,0.000,2.400,13.600,0.150,57.000,10.040,0.000,0.000,85.810,0.160,0.280,,,,سیب (خوشمزه طلایی)
Apple (Red delisious),0.040,1.000,0.000,104.000,12.000,34.000,5.000,0.110,0.000,27.000,6.000,2.600,0.240,0.000,0.000,34.000,0.000,55.000,15.000,25.000,51.000,75.000,3.400,0.000,0.000,0.000,2.300,14.060,0.200,59.000,10.480,0.000,0.000,85.330,0.140,0.270,,,,سیب (لذیذ قرمز)
Apricot,0.200,1.000,0.100,259.000,23.000,77.000,10.000,0.390,0.000,78.000,13.000,3.300,0.890,0.000,10.000,54.000,0.000,"1,926.000",30.000,40.000,240.000,600.000,2.800,27.000,0.000,0.000,2.000,11.120,0.390,48.000,9.240,18.000,0.000,86.350,0.750,1.400,,,,زردآلو
Asparagus,0.540,2.000,2.300,202.000,52.000,158.000,14.000,2.140,0.000,189.000,24.000,41.600,1.130,0.000,5.600,91.000,0.000,756.000,143.000,141.000,274.000,978.000,16.000,40.000,0.000,0.000,2.100,3.880,0.120,20.000,1.880,24.000,0.000,93.220,0.580,2.200,,,,مارچوبه
Avocado,0.640,7.000,0.400,485.000,52.000,142.000,29.000,0.550,7.000,190.000,12.000,21.000,2.070,0.000,10.000,257.000,0.000,146.000,67.000,130.000,1.389,1.738,14.200,2.126,0.000,0.000,6.700,8.530,14.660,160.000,0.660,81.000,0.000,73.230,1.580,2.000,,,,آووکادو
Baking Powder,0.720,90.000,0.200,"10,100.000","6,869.000",420.000,29.000,8.170,0.000,19.000,"4,332.000",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,73.000,0.000,0.000,2.200,46.900,0.400,97.000,0.000,0.000,0.000,6.200,46.400,0.100,,,,بکینگ پودر
Baking Soda,0.000,"27,360.000",0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,36.900,0.000,,,,جوش شیرین
Bananas,0.150,1.000,1.000,358.000,22.000,270.000,27.000,0.260,2.200,78.000,5.000,0.500,0.100,0.000,8.700,367.000,0.000,64.000,31.000,73.000,334.000,665.000,9.800,112.000,0.000,0.000,2.600,22.840,0.330,89.000,12.230,16.000,0.000,74.910,0.820,1.090,,,,موز
Basil,0.810,4.000,0.300,295.000,56.000,1.148,64.000,3.170,0.000,385.000,177.000,414.800,0.800,0.000,18.000,155.000,0.000,"5,275.000",34.000,76.000,209.000,902.000,11.400,41.000,0.000,0.000,1.600,2.650,0.640,23.000,0.300,0.000,0.000,92.060,1.490,3.150,,,,ریحان
Basil.Dried,7.100,76.000,3.000,"2,630.000",274.000,9.800,711.000,89.800,0.000,2.100,"2,240.000","1,714.500",10.700,0.000,0.800,1.340,0.000,744.000,80.000,1.200,838.000,4.900,54.900,2.157,0.000,0.000,37.700,47.750,4.070,233.000,1.710,106.000,0.000,10.350,14.850,22.980,,,,ریحان.خشک شده
Bay Leaf,3.700,23.000,2.800,529.000,113.000,8.167,120.000,43.000,0.000,416.000,834.000,0.000,0.000,0.000,46.500,1.740,0.000,"6,185.000",9.000,421.000,0.000,2.005,1.000,2.280,0.000,0.000,26.300,74.970,8.360,313.000,0.000,0.000,0.000,5.440,3.620,7.610,,,,برگ بو
Beef.Brain (Raw),1.020,126.000,21.300,274.000,362.000,26.000,13.000,2.550,0.000,287.000,43.000,0.000,0.990,0.000,10.700,226.000,9.510,147.000,92.000,199.000,2.010,3.550,1.000,2.300,610.000,0.000,0.000,1.050,10.300,143.000,0.000,"3,010.000",0.000,76.290,1.510,10.860,,,,گوشت گاو مغز (خام)
Beef.Brisket (Raw),2.850,"1,217.000",19.000,297.000,117.000,20.000,14.000,1.690,0.000,110.000,7.000,0.000,0.000,0.000,27.000,290.000,1.780,0.000,43.000,157.000,570.000,3.660,1.000,4.730,0.000,0.000,0.000,0.140,14.900,198.000,0.000,54.000,0.000,66.560,3.730,14.680,,,,گوشت گوساله (خام)
Beef.Flank (Raw),4.330,47.000,3.500,331.000,175.000,6.000,20.000,1.570,0.000,46.000,4.000,0.000,0.340,0.100,0.000,205.000,1.560,26.000,32.000,82.000,140.000,4.730,1.000,2.299,97.000,0.000,0.000,0.000,6.670,142.000,0.000,49.000,0.000,73.620,0.960,20.530,,,,گوشت گاو (خام)
Beef.Ground (Raw),4.550,68.000,14.200,289.000,175.000,10.000,19.000,1.990,0.000,63.000,12.000,1.100,0.350,0.000,0.000,355.000,1.970,0.000,49.000,154.000,576.000,4.818,67.400,5.335,751.000,0.000,0.000,0.000,12.730,198.000,0.000,62.000,0.000,67.130,1.710,19.420,,,,گوشت گاو چرخکرده (خام)
Beef.Heart (Raw),1.700,98.000,21.800,287.000,212.000,35.000,21.000,4.310,0.000,396.000,7.000,0.000,0.220,0.000,2.000,279.000,8.550,0.000,238.000,906.000,1.790,7.530,1.000,1.383,180.000,0.000,0.000,0.140,3.940,112.000,0.000,124.000,0.000,77.110,1.100,17.720,,,,گوشت گاو قلب (خام)
Beef.Liver (Raw),4.000,69.000,39.700,313.000,387.000,310.000,18.000,4.900,0.000,9.755,5.000,3.100,0.380,1.200,1.300,1.083,59.300,"16,898.000",189.000,2.755,7.173,13.175,333.300,1.233,170.000,0.000,0.000,3.890,3.630,135.000,0.000,275.000,0.000,70.810,1.310,20.360,,,,گوشت گاو جگر (خام)
Beef.Lungs (Raw),1.610,198.000,44.300,340.000,224.000,19.000,14.000,7.950,0.000,260.000,10.000,0.000,0.000,0.000,38.500,40.000,3.810,46.000,47.000,230.000,1.000,4.000,1.000,860.000,0.000,0.000,0.000,0.000,2.500,92.000,0.000,242.000,0.000,79.380,0.980,16.200,,,,گوشت گاو. ریه (خام)
Beef.Ribs (Raw),3.950,54.000,2.900,337.000,184.000,6.000,20.000,1.820,0.000,47.000,15.000,0.000,0.740,0.200,0.000,255.000,1.170,26.000,30.000,90.000,293.000,4.306,1.000,2.453,123.000,0.000,0.000,0.000,6.780,146.000,0.000,57.000,0.000,71.320,0.940,21.310,,,,گوشت گاو دنده (خام)
Beef.ShortRibs (Raw),4.780,65.000,14.400,357.000,190.000,14.000,22.000,2.160,0.000,69.000,8.000,0.000,0.000,0.000,0.000,390.000,3.390,0.000,94.000,154.000,320.000,3.412,1.000,4.330,0.000,0.000,0.000,0.400,10.190,175.000,0.000,59.000,0.000,69.380,0.980,19.050,,,,گوشت گاو. دنده کوتاه (خام)
Beef.StewChuck (Raw),5.510,81.000,26.000,359.000,209.000,14.000,20.000,2.200,0.000,93.000,14.000,1.500,0.150,0.100,0.000,568.000,2.420,7.000,80.000,170.000,670.000,5.190,74.600,1.748,213.000,0.000,0.000,0.210,3.990,124.000,0.000,66.000,0.000,72.790,1.120,21.900,,,,گوشت گاو. خورش (خام)
Beef.TenderLoin (Raw),2.320,39.000,4.300,359.000,203.000,12.000,24.000,2.180,0.000,102.000,4.000,0.000,0.590,0.100,0.000,264.000,1.760,30.000,55.000,118.000,569.000,4.015,1.000,2.788,151.000,0.000,0.000,0.000,6.880,146.000,0.000,58.000,0.000,71.180,1.040,21.040,,,,گوشت گاو. TenderLoin (خام)
Beef.Tongue (Raw),2.870,69.000,9.400,315.000,133.000,26.000,16.000,2.950,0.000,170.000,6.000,0.000,0.000,0.000,3.100,310.000,3.790,0.000,125.000,340.000,653.000,4.240,1.000,7.000,0.000,0.000,0.000,3.680,16.090,224.000,0.000,87.000,0.000,64.530,0.800,14.900,,,,گوشت گاو زبان (خام)
Beetroot,0.350,78.000,0.700,325.000,40.000,329.000,23.000,0.800,0.000,75.000,16.000,0.200,0.040,0.000,4.900,67.000,0.000,33.000,31.000,40.000,155.000,334.000,6.000,27.000,0.000,0.000,2.800,9.560,0.170,43.000,6.670,25.000,0.000,87.580,1.080,1.610,,,,چغندر
Beetroot (Cooked),0.350,77.000,0.700,305.000,38.000,326.000,23.000,0.790,0.000,74.000,16.000,0.200,0.040,0.000,3.600,67.000,0.000,35.000,27.000,40.000,145.000,331.000,6.300,28.000,0.000,0.000,2.000,9.960,0.180,44.000,7.960,0.000,0.000,87.060,1.120,1.680,,,,چغندر (پخته)
Black Beans,3.650,5.000,3.200,"1,483.000",352.000,1.060,171.000,5.020,0.000,841.000,123.000,5.600,0.210,0.000,0.000,286.000,0.000,17.000,900.000,193.000,899.000,1.955,66.400,366.000,0.000,0.000,15.500,62.360,1.420,341.000,2.120,0.000,0.000,11.020,3.600,21.600,,,,لوبیا سیاه
Black Pepper (Table),1.190,20.000,4.900,"1,329.000",158.000,12.753,171.000,9.710,34.200,1.330,443.000,163.700,1.040,0.000,0.000,291.000,0.000,547.000,108.000,180.000,1.399,1.143,11.300,1.392,0.000,0.000,25.300,63.950,3.260,251.000,0.640,92.000,0.000,12.460,4.490,10.390,,,,فلفل سیاه (سفره)
Black Tea,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,11.000,97.890,2.110,0.000,,,,چای سیاه
Black-Eyed Beans,3.370,16.000,9.000,"1,112.000",424.000,1.528,184.000,8.270,0.000,845.000,110.000,5.000,0.390,0.000,1.500,357.000,0.000,50.000,853.000,226.000,1.496,2.075,94.700,331.000,0.000,0.000,10.600,60.030,1.260,336.000,6.900,0.000,0.000,11.950,3.240,23.520,,,,لوبیا چشم سیاه
Blackberris,0.530,1.000,0.400,162.000,22.000,646.000,20.000,0.620,0.000,165.000,29.000,19.800,1.170,0.000,21.000,30.000,0.000,214.000,20.000,26.000,276.000,646.000,8.500,14.000,0.000,0.000,5.300,9.610,0.490,43.000,4.880,0.000,0.000,88.150,0.370,1.390,,,,شاه توت
Blood Orange,0.060,0.000,0.000,179.000,17.000,23.000,10.000,0.090,0.000,37.000,40.000,0.000,0.000,0.000,48.500,63.000,0.000,230.000,87.000,40.000,250.000,274.000,3.100,35.000,0.000,0.000,2.500,11.890,0.300,47.000,0.000,0.000,0.000,86.340,0.420,1.040,,,,پرتقال خونی
Blueberries,0.160,1.000,0.100,77.000,12.000,336.000,6.000,0.280,0.000,57.000,6.000,19.300,0.570,0.000,9.700,52.000,0.000,54.000,37.000,41.000,124.000,418.000,6.000,28.000,0.000,0.000,2.400,14.490,0.330,57.000,9.960,0.000,0.000,84.210,0.240,0.740,,,,بلوبری
Bread Crumbs,1.450,732.000,25.200,196.000,165.000,919.000,43.000,4.830,0.000,255.000,183.000,6.600,0.080,0.000,0.000,121.000,0.350,0.000,967.000,403.000,552.000,6.634,14.600,1.203,0.000,0.000,4.500,71.980,5.300,395.000,6.200,0.000,0.000,6.510,2.870,13.350,,,,خرده نان
Broccoli,0.410,33.000,2.500,316.000,66.000,210.000,21.000,0.730,0.000,49.000,47.000,101.600,0.780,0.000,98.200,175.000,0.000,623.000,71.000,117.000,573.000,639.000,18.700,114.000,0.000,0.000,2.600,6.640,0.370,34.000,1.700,0.000,0.000,89.300,0.870,2.820,,,,کلم بروکلی
Brussel Sprouts,0.420,25.000,1.600,389.000,69.000,337.000,23.000,1.400,0.000,70.000,42.000,177.000,0.880,0.000,85.000,219.000,0.000,754.000,139.000,90.000,309.000,745.000,19.100,62.000,0.000,0.000,3.800,8.950,0.300,43.000,2.200,24.000,0.000,86.000,1.370,3.380,,,,کلم بروکسل
Butter,0.090,11.000,1.000,24.000,24.000,4.000,2.000,0.020,2.800,16.000,24.000,7.000,2.320,0.000,0.000,3.000,0.170,"2,499.000",5.000,34.000,110.000,42.000,18.800,50.489,0.000,0.000,0.000,0.060,81.110,717.000,0.060,219.000,0.000,16.170,0.090,0.850,"45,000",100,450,کره
Butterhead Lettuce,0.200,5.000,0.600,238.000,33.000,179.000,13.000,1.240,0.000,16.000,35.000,102.300,0.180,0.000,3.700,82.000,0.000,"3,312.000",57.000,62.000,150.000,357.000,8.400,29.000,0.000,0.000,1.100,2.230,0.220,13.000,0.940,0.000,0.000,95.630,0.570,1.350,,,,کله کاهو
Capers,0.320,"2,348.000",1.200,40.000,10.000,78.000,33.000,1.670,0.000,374.000,40.000,24.600,0.880,0.000,4.300,23.000,0.000,138.000,18.000,139.000,27.000,652.000,6.500,233.000,0.000,0.000,3.200,4.890,0.860,23.000,0.410,48.000,0.000,83.850,8.040,2.360,,,,کپر
Caraway.Seed,5.500,17.000,12.100,"1,351.000",568.000,1.300,258.000,16.230,0.000,910.000,689.000,0.000,2.500,0.000,21.000,360.000,0.000,363.000,383.000,379.000,0.000,3.606,24.700,620.000,0.000,0.000,38.000,49.900,14.590,333.000,0.640,76.000,0.000,9.870,5.870,19.770,,,,زیره.بذر
Cardamom.Spice,7.470,18.000,0.000,"1,119.000",178.000,28.000,229.000,13.970,0.000,383.000,383.000,0.000,0.000,0.000,21.000,230.000,0.000,0.000,198.000,182.000,0.000,1.102,1.000,680.000,0.000,0.000,28.000,68.470,6.700,311.000,0.000,46.000,0.000,8.280,5.780,10.760,,,,هل. ادویه
Carrots,0.240,69.000,0.100,320.000,35.000,143.000,12.000,0.300,3.200,45.000,33.000,13.200,0.660,0.000,5.900,138.000,0.000,"16,706.000",66.000,58.000,273.000,983.000,8.800,32.000,0.000,0.000,2.800,9.580,0.240,41.000,4.740,0.000,0.000,88.290,0.970,0.930,,,,هویج
Cashew,5.780,12.000,19.900,660.000,593.000,1.655,292.000,6.680,0.000,2.195,37.000,34.100,0.900,0.000,0.500,417.000,0.000,0.000,423.000,58.000,864.000,1.062,1.000,7.783,0.000,0.000,3.300,30.190,43.850,553.000,5.910,121.000,0.000,5.200,2.540,18.220,,,,بادام هندی
Cauliflower,0.270,30.000,0.600,299.000,44.000,155.000,15.000,0.420,1.000,39.000,22.000,15.500,0.080,0.000,48.200,184.000,0.000,0.000,50.000,60.000,667.000,507.000,44.300,130.000,0.000,0.000,2.000,4.970,0.280,25.000,1.910,18.000,0.000,92.070,0.760,1.920,,,,گل کلم
Cayenne Pepper (Red),2.480,30.000,8.800,"2,014.000",293.000,2.000,152.000,7.800,0.000,373.000,148.000,80.300,29.830,0.000,76.400,2.450,0.000,"41,610.000",328.000,919.000,0.000,8.701,51.500,3.260,0.000,0.000,27.200,56.630,17.270,318.000,10.340,83.000,0.000,8.050,6.040,12.010,,,,فلفل کاین (قرمز)
Celery,0.130,80.000,0.400,260.000,24.000,103.000,11.000,0.200,4.000,35.000,40.000,29.300,0.270,0.000,3.100,74.000,0.000,449.000,21.000,57.000,246.000,320.000,6.100,42.000,0.000,0.000,1.600,2.970,0.170,14.000,1.340,6.000,0.000,95.430,0.750,0.690,,,,کرفس
Celery.Seed,6.930,160.000,12.100,"1,400.000",547.000,7.567,440.000,44.900,0.000,1.370,"1,767.000",0.000,1.070,0.000,17.100,890.000,0.000,52.000,340.000,290.000,0.000,3.060,24.700,2.190,0.000,0.000,11.800,41.350,25.270,392.000,0.670,60.000,0.000,6.040,9.270,18.070,,,,کرفس.دانه
Chamomile.Herb.Brewed,0.040,0.100,0.000,9.000,0.000,44.000,1.000,0.080,0.000,15.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,10.000,4.000,11.000,0.000,0.000,2.000,0.000,0.000,0.000,0.200,0.000,1.000,0.000,0.000,0.000,99.700,0.010,0.000,,,,بابونه.علف.دم کرده
Cheese.Blue,2.660,"1,146.000",14.500,256.000,387.000,9.000,23.000,0.310,0.000,40.000,528.000,2.400,0.250,0.500,0.000,166.000,1.220,721.000,29.000,382.000,1.729,1.016,15.400,18.669,0.000,0.000,0.000,2.340,28.740,353.000,0.500,75.000,0.000,42.410,5.110,21.400,,,,پنیر.آبی
Cheese.Cheddar,3.640,653.000,28.500,76.000,455.000,27.000,27.000,0.140,0.000,30.000,710.000,2.400,0.710,0.600,0.000,66.000,1.100,"1,242.000",29.000,428.000,410.000,59.000,16.500,18.867,0.000,0.000,0.000,3.370,33.310,403.000,0.480,99.000,0.000,36.750,3.710,22.870,,,,پنیر.چدار
Cheese.Cream,0.500,314.000,8.600,132.000,107.000,11.000,9.000,0.110,0.000,18.000,97.000,2.100,0.860,0.000,0.000,56.000,0.220,"1,111.000",23.000,230.000,517.000,91.000,26.800,20.213,1.173,0.000,0.000,5.520,34.440,350.000,3.760,101.000,0.000,52.620,1.270,6.150,,,,پنیر.خامه
Cheese.Feta,2.880,"1,139.000",15.000,62.000,337.000,28.000,19.000,0.650,0.000,32.000,493.000,1.800,0.180,0.400,0.000,424.000,1.690,422.000,154.000,844.000,967.000,991.000,15.400,13.300,0.000,0.000,0.000,3.880,21.490,265.000,0.000,89.000,0.000,55.220,5.200,14.210,,,,پنیر.فتا
Cheese.Gouda,3.900,819.000,14.500,121.000,546.000,11.000,29.000,0.240,0.000,36.000,700.000,2.300,0.240,0.500,0.000,80.000,1.540,563.000,30.000,334.000,340.000,63.000,15.400,17.614,0.000,0.000,0.000,2.220,27.440,356.000,2.220,114.000,0.000,41.460,3.940,24.940,,,,پنیر.گودا
Cheese.Mozzarella,2.920,486.000,17.000,76.000,354.000,30.000,20.000,0.440,0.000,11.000,505.000,2.300,0.190,0.400,0.000,37.000,2.280,676.000,30.000,283.000,141.000,104.000,15.400,13.900,0.000,0.000,0.000,2.400,22.140,299.000,0.000,79.000,0.000,50.010,3.280,22.170,,,,پنیر.موزارلا
Cheese.Parmesan,4.200,"1,804.000",34.400,180.000,627.000,71.000,34.000,0.490,0.000,40.000,853.000,1.700,0.530,0.500,0.000,81.000,1.400,974.000,26.000,358.000,450.000,80.000,14.100,15.371,876.000,0.000,0.000,13.910,27.840,420.000,0.070,86.000,0.000,22.650,7.180,28.420,,,,پنیر.پارمسان
Cherry,0.070,0.000,0.000,222.000,21.000,70.000,11.000,0.360,2.000,60.000,13.000,2.100,0.070,0.000,7.000,49.000,0.000,64.000,27.000,33.000,199.000,154.000,6.100,38.000,0.000,0.000,2.100,16.010,0.200,63.000,12.820,12.000,0.000,82.250,0.480,1.060,,,,گیلاس
Chervil.Dried,8.800,83.000,29.300,"4,740.000",450.000,2.100,130.000,31.950,0.000,440.000,"1,346.000",0.000,0.000,0.000,50.000,930.000,0.000,"5,850.000",380.000,680.000,0.000,5.400,1.000,169.000,0.000,0.000,11.300,49.100,3.900,237.000,0.000,0.000,0.000,7.200,16.600,23.200,,,,Chervil.خشک شده
ChiaSeeds.Dry,4.580,16.000,55.200,407.000,860.000,2.723,335.000,7.720,0.000,924.000,631.000,0.000,0.500,0.000,1.600,0.000,0.000,54.000,620.000,170.000,0.000,8.830,1.000,3.330,140.000,0.000,34.400,42.120,30.740,486.000,0.000,0.000,0.000,5.800,4.800,16.540,,,,ChiaSeeds.Dry
Chicken (Gizzard),2.720,69.000,25.500,237.000,148.000,55.000,15.000,2.490,0.000,116.000,11.000,0.000,0.330,0.000,3.700,112.000,1.210,64.000,28.000,231.000,631.000,3.680,1.000,529.000,60.000,0.000,0.000,0.000,2.060,94.000,0.000,240.000,0.000,79.330,0.950,17.660,,,,مرغ ( سنگدان )
Chicken (Heart),6.590,74.000,4.300,176.000,177.000,89.000,15.000,5.960,0.000,346.000,12.000,0.000,0.000,0.000,3.200,360.000,7.290,30.000,152.000,728.000,2.559,4.883,1.000,2.660,0.000,0.000,0.000,0.710,9.330,153.000,0.000,136.000,0.000,73.560,0.850,15.550,,,,مرغ (قلب)
